"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"1","-0.0","0.0","0.0"
"2","0.0","0.0","0.0"
"3","0.0","0.0","0.0"
"4","11.1169","0.0","0.0"
"5","11.117","0.0","0.0"
"6","11.1171","0.0","0.0"
"7","26.0033","0.0","0.0"
"8","26.0034","0.0","0.0"
"9","26.0035","0.0","0.0"
"10","26.4754","0.0","0.0"
"11","27.4621","0.0002","0.0"
"12","27.4622","0.0002","0.0"
"13","27.4622","0.0002","0.0"
"14","28.4642","0.0","0.0"
"15","28.4657","0.0","0.0"
"16","28.4666","0.0","0.0"
"17","34.5102","0.0","0.0"
"18","34.5104","0.0","0.0"
"19","34.5104","0.0","0.0"
"20","50.8935","0.0","0.0"
"21","50.8937","0.0","0.0"
"22","50.8938","0.0","0.0"
"23","59.0706","0.0","0.0"
"24","59.0706","0.0","0.0"
"25","59.0707","0.0","0.0"
"26","67.663","0.0","0.0"
"27","67.664","0.0","0.0"
"28","75.1883","0.0","0.0"
"29","75.1885","0.0","0.0"
"30","77.1019","0.0","0.0"
"31","77.102","0.0","0.0"
"32","77.1025","0.0","0.0"
"33","77.2808","0.0","0.0"
"34","77.2809","0.0","0.0"
"35","77.281","0.0","0.0"
"36","78.6139","0.0","0.0"
"37","78.614","0.0","0.0"
"38","78.614","0.0","0.0"
"39","80.4301","0.0","0.0"
"40","80.4303","0.0","0.0"
"41","80.4304","0.0","0.0"
"42","88.7115","0.0","0.0"
"43","103.7516","0.0","0.0"
"44","103.7518","0.0","0.0"
"45","103.752","0.0","0.0"
"46","105.0167","0.0099","0.0"
"47","105.0169","0.0099","0.0"
"48","105.017","0.0099","0.0"
"49","113.7102","0.0","0.0"
"50","113.7103","0.0","0.0"
"51","113.7104","0.0","0.0"
"52","119.4956","0.0","0.0"
"53","122.5651","0.0","0.0"
"54","122.5654","0.0","0.0"
"55","122.5654","0.0","0.0"
"56","122.7861","0.0","0.0"
"57","122.7866","0.0","0.0"
"58","129.845","0.0247","0.0"
"59","129.8451","0.0247","0.0"
"60","129.8452","0.0247","0.0"
"61","143.0222","0.0","0.0"
"62","143.0222","0.0","0.0"
"63","143.0223","0.0","0.0"
"64","147.4087","0.0","0.0"
"65","147.4088","0.0","0.0"
"66","147.4089","0.0","0.0"
"67","148.2346","0.0","0.0"
"68","148.2347","0.0","0.0"
"69","148.2349","0.0","0.0"
"70","160.3655","0.1393","0.0"
"71","160.3656","0.1393","0.0"
"72","160.3657","0.1393","0.0"
"73","162.0574","0.0","0.0"
"74","162.0576","0.0","0.0"
"75","183.9112","0.0","0.0"
"76","183.9113","0.0","0.0"
"77","183.9114","0.0","0.0"
"78","189.5421","0.0276","0.0"
"79","189.5423","0.0276","0.0"
"80","189.5423","0.0276","0.0"
"81","204.7045","0.0","0.0"
"82","204.7046","0.0","0.0"
"83","204.7047","0.0","0.0"
"84","210.7129","0.0","0.0"
"85","210.713","0.0","0.0"
"86","211.8094","0.0","0.1952"
"87","212.5749","0.0","0.0"
"88","212.5751","0.0","0.0"
"89","212.5751","0.0","0.0"
"90","231.6505","0.0","0.0"
"91","237.5023","0.0","0.0"
"92","237.5023","0.0","0.0"
"93","237.5025","0.0","0.0"
"94","238.7977","0.1566","0.0"
"95","238.7979","0.1566","0.0"
"96","238.798","0.1566","0.0"
"97","246.4684","0.0","0.0"
"98","246.4685","0.0","0.0"
"99","246.4686","0.0","0.0"
"100","258.4122","0.0277","0.0"
"101","258.4122","0.0277","0.0"
"102","258.4123","0.0277","0.0"
"103","271.0561","0.0","0.0"
"104","271.0561","0.0","0.0"
"105","271.0562","0.0","0.0"
"106","274.5992","0.0","0.0"
"107","274.5992","0.0","0.0"
"108","280.8673","0.0","0.1862"
"109","298.0016","0.0","0.0"
"110","309.5075","0.0","0.0"
"111","309.5078","0.0","0.0"
"112","309.5079","0.0","0.0"
"113","317.0787","0.0","0.0"
"114","317.0789","0.0","0.0"
"115","321.757","0.0","0.0"
"116","331.2217","0.0","0.0"
"117","331.222","0.0","0.0"
"118","331.2221","0.0","0.0"
"119","333.7841","0.0","0.0"
"120","333.7842","0.0","0.0"
"121","333.7842","0.0","0.0"
"122","334.4534","0.0","0.0"
"123","334.4534","0.0","0.0"
"124","334.4535","0.0","0.0"
"125","335.4433","0.0","0.0"
"126","335.4435","0.0","0.0"
"127","344.9949","0.523","0.0"
"128","344.995","0.523","0.0"
"129","344.995","0.523","0.0"
"130","345.6555","0.0","0.0"
"131","345.6556","0.0","0.0"
"132","361.7945","0.0","0.0"
"133","361.7945","0.0","0.0"
"134","361.7947","0.0","0.0"
"135","363.8569","0.0","0.0"
"136","363.857","0.0","0.0"
"137","363.857","0.0","0.0"
"138","381.7477","0.0","0.0"
"139","394.2727","0.0","0.0"
"140","394.2728","0.0","0.0"
"141","394.2729","0.0","0.0"
"142","399.1408","0.0","0.0"
