"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"1","-0.0","0.0","0.0"
"2","0.0","0.0","0.0"
"3","0.0","0.0","0.0"
"4","12.4008","0.0","0.0"
"5","12.5071","0.0","0.0"
"6","29.2004","0.0","0.0"
"7","30.3293","0.0","0.0"
"8","30.3424","0.0","0.0"
"9","33.1602","0.0","0.0"
"10","33.6179","0.0","0.0"
"11","33.8318","0.0","0.0"
"12","35.4069","0.0","0.0"
"13","37.4889","0.0","0.0"
"14","46.9343","0.0001","0.0"
"15","48.3527","0.0","0.0"
"16","48.8104","0.0","0.0001"
"17","49.825","0.0","0.0"
"18","50.1521","0.0001","0.0"
"19","52.9887","0.0007","0.0002"
"20","54.2886","0.0008","0.0"
"21","55.2178","0.0047","0.0"
"22","55.4513","0.0039","0.0"
"23","56.1495","0.0","0.0"
"24","61.9692","0.0004","0.0"
"25","65.5663","0.0","0.0"
"26","65.9086","0.0001","0.0"
"27","68.4638","0.0","0.0"
"28","69.0142","0.0","0.0"
"29","69.8363","0.0","0.0"
"30","71.9219","0.0001","0.0"
"31","72.7241","0.0","0.0"
"32","73.6557","0.0","0.0"
"33","74.3265","0.0001","0.0"
"34","74.7344","0.0","0.0"
"35","75.161","0.0001","0.0"
"36","75.749","0.0004","0.0"
"37","77.3577","0.0001","0.0"
"38","81.9243","0.0","0.0"
"39","82.8195","0.0","0.0"
"40","82.9027","0.0008","0.0"
"41","94.003","0.0","0.0"
"42","94.3713","0.0002","0.0"
"43","94.5698","0.0001","0.0"
"44","95.5693","0.0014","0.0"
"45","95.9831","0.0002","0.0"
"46","96.5356","0.0003","0.0"
"47","97.2018","0.0001","0.0"
"48","98.0946","0.0","0.0"
"49","101.2659","0.0047","0.0"
"50","102.3677","0.0","0.0"
"51","103.139","0.0002","0.0"
"52","103.7071","0.0035","0.0"
"53","103.8178","0.0001","0.0"
"54","104.2896","0.0001","0.0"
"55","104.6043","0.0","0.0"
"56","112.3692","0.0022","0.0"
"57","113.5847","0.0056","0.0"
"58","114.2602","0.0021","0.0"
"59","114.475","0.0009","0.0"
"60","114.5301","0.0002","0.0"
"61","114.778","0.0047","0.0"
"62","117.9378","0.0005","0.0"
"63","119.9546","0.0001","0.0"
"64","120.6821","0.0","0.0"
"65","122.4623","0.0008","0.0"
"66","123.2656","0.0","0.0"
"67","127.3656","0.0127","0.0"
"68","129.874","0.0","0.0"
"69","130.6857","0.0001","0.0"
"70","132.6758","0.0002","0.0"
"71","132.9009","0.0001","0.0"
"72","134.7319","0.0","0.0"
"73","139.7007","0.0001","0.0"
"74","140.1621","0.0003","0.0"
"75","140.675","0.0003","0.0"
"76","144.2867","0.0","0.0"
"77","144.3173","0.0","0.0"
"78","149.9528","0.0","0.0198"
"79","152.15","0.0001","0.0006"
"80","152.859","0.0","0.0"
"81","152.999","0.0","0.0002"
"82","153.47","0.0","0.0"
"83","153.7077","0.0","0.0"
"84","155.0928","0.0","0.0"
"85","155.5859","0.0","0.0"
"86","156.4129","0.0","0.0"
"87","156.8245","0.0","0.0"
"88","157.9158","0.0","0.0"
"89","157.9596","0.0","0.0"
"90","160.3437","0.0","0.0"
"91","160.3716","0.0","0.0"
"92","160.8477","0.0","0.0"
"93","161.9988","0.0","0.0"
"94","167.2775","0.0","0.0"
"95","167.7726","0.0","0.0"
"96","172.6375","0.0001","0.0"
"97","172.6939","0.0002","0.0001"
"98","175.7522","0.0029","0.0017"
"99","186.2874","0.0","0.0"
"100","187.2909","0.0263","0.0001"
"101","187.2977","0.027","0.0"
"102","191.2296","0.0001","0.0002"
"103","191.4599","0.0","0.0"
"104","192.3828","0.0","0.0001"
"105","193.081","0.0","0.0"
"106","194.9106","0.0001","0.0002"
"107","198.3254","0.0","0.0005"
"108","199.7263","0.0","0.0"
"109","202.0721","0.0819","0.0"
"110","202.3642","0.1007","0.0"
"111","203.2655","0.0182","0.0"
"112","204.8078","0.0002","0.0"
"113","206.5556","0.0001","0.2429"
"114","209.7027","0.0","0.0012"
"115","212.1172","0.0002","0.0"
"116","212.4875","0.0","0.0014"
"117","219.389","0.0104","0.0"
"118","219.3921","0.0107","0.0"
"119","220.2374","0.1957","0.0"
"120","220.259","0.1956","0.0"
"121","223.9651","0.0","0.0"
"122","225.2759","0.0","0.0"
"123","225.3202","0.0","0.0"
"124","232.6595","0.0","0.0"
"125","235.0301","0.0754","0.0"
"126","236.8385","0.0","0.0"
"127","237.7654","0.0","0.0"
"128","239.9922","0.0001","0.0"
"129","240.0007","0.0","0.0"
"130","242.8216","0.0059","0.0"
"131","242.8833","0.006","0.0"
"132","251.9031","0.0","0.0"
"133","252.1302","0.0","0.0"
"134","252.194","0.0","0.0"
"135","253.8577","0.0003","0.0"
"136","258.0281","0.0001","0.0"
"137","259.028","0.0","0.0"
"138","259.6112","0.0","0.0"
"139","259.9091","0.0","0.0"
