#v / cm^-1	Intensity / AU
3185	2.44E-05
3184	2.48E-05
3183	2.51E-05
3182	2.55E-05
3181	2.59E-05
3180	2.64E-05
3179	2.68E-05
3178	2.73E-05
3177	2.78E-05
3176	2.83E-05
3175	2.89E-05
3174	2.95E-05
3173	3.01E-05
3172	3.08E-05
3171	3.15E-05
3170	3.23E-05
3169	3.31E-05
3168	3.40E-05
3167	3.49E-05
3166	3.59E-05
3165	3.70E-05
3164	3.82E-05
3163	3.94E-05
3162	4.08E-05
3161	4.23E-05
3160	4.40E-05
3159	4.57E-05
3158	4.77E-05
3157	4.99E-05
3156	5.22E-05
3155	5.49E-05
3154	5.78E-05
3153	6.11E-05
3152	6.48E-05
3151	6.90E-05
3150	7.37E-05
3149	7.91E-05
3148	8.53E-05
3147	9.25E-05
3146	0.000100941
3145	0.000110858
3144	0.000122651
3143	0.000136812
3142	0.000153985
3141	0.000175011
3140	0.000200964
3139	0.000233145
3138	0.000272942
3137	0.000321361
3136	0.000377904
3135	0.000438633
3134	0.000494456
3133	0.000533012
3132	0.000546515
3131	0.000539091
3130	0.000524063
3129	0.000515088
3128	0.000521324
3127	0.000547969
3126	0.000598239
3125	0.000674246
3124	0.000775829
3123	0.000896716
3122	0.001018635
3121	0.001108846
3120	0.001131854
3119	0.001074489
3118	0.000957322
3117	0.000816553
3116	0.000680649
3115	0.000563163
3114	0.000467024
3113	0.000390236
3112	0.000329353
3111	0.000280994
3110	0.00024233
3109	0.000211146
3108	0.000185751
3107	0.000164866
3106	0.000147525
3105	0.000132996
3104	0.000120718
3103	0.000110261
3102	0.000101287
3101	9.35E-05
3100	8.68E-05
3099	8.09E-05
3098	7.57E-05
3097	7.11E-05
3096	6.71E-05
3095	6.34E-05
3094	6.02E-05
3093	5.73E-05
3092	5.46E-05
3091	5.23E-05
3090	5.01E-05
3089	4.81E-05
3088	4.63E-05
3087	4.47E-05
3086	4.32E-05
3085	4.18E-05
3084	4.05E-05
3083	3.93E-05
3082	3.82E-05
3081	3.72E-05
3080	3.63E-05
3079	3.54E-05
3078	3.46E-05
3077	3.38E-05
3076	3.31E-05
3075	3.24E-05
3074	3.18E-05
3073	3.12E-05
3072	3.07E-05
3071	3.02E-05
3070	2.97E-05
3069	2.92E-05
3068	2.88E-05
3067	2.84E-05
3066	2.80E-05
3065	2.77E-05
3064	2.73E-05
3063	2.70E-05
3062	2.67E-05
3061	2.64E-05
3060	2.61E-05
3059	2.58E-05
3058	2.56E-05
3057	2.54E-05
3056	2.51E-05
3055	2.49E-05
3054	2.47E-05
3053	2.45E-05
3052	2.43E-05
3051	2.42E-05
3050	2.40E-05
3049	2.38E-05
3048	2.37E-05
3047	2.35E-05
3046	2.34E-05
3045	2.33E-05
3044	2.31E-05
3043	2.30E-05
3042	2.29E-05
3041	2.28E-05
3040	2.27E-05
3039	2.26E-05
3038	2.25E-05
3037	2.24E-05
3036	2.23E-05
3035	2.22E-05
3034	2.21E-05
3033	2.20E-05
3032	2.20E-05
3031	2.19E-05
3030	2.18E-05
3029	2.17E-05
3028	2.17E-05
3027	2.16E-05
3026	2.16E-05
3025	2.15E-05
3024	2.15E-05
3023	2.14E-05
3022	2.14E-05
3021	2.13E-05
3020	2.13E-05
3019	2.12E-05
3018	2.12E-05
3017	2.11E-05
3016	2.11E-05
3015	2.11E-05
3014	2.10E-05
3013	2.10E-05
3012	2.10E-05
3011	2.09E-05
3010	2.09E-05
3009	2.09E-05
3008	2.09E-05
3007	2.08E-05
3006	2.08E-05
3005	2.08E-05
3004	2.08E-05
3003	2.08E-05
3002	2.07E-05
3001	2.07E-05
3000	2.07E-05
2999	2.07E-05
2998	2.07E-05
2997	2.07E-05
2996	2.06E-05
2995	2.06E-05
2994	2.06E-05
