"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"1","-0.0","0.0","0.0"
"2","-0.0","0.0","0.0"
"3","0.0","0.0","0.0"
"4","17.0861","0.0","0.0"
"5","17.0866","0.0","0.0"
"6","17.0866","0.0","0.0"
"7","32.7701","0.0","0.0"
"8","42.1099","0.0","0.0"
"9","42.111","0.0","0.0"
"10","42.1113","0.0","0.0"
"11","47.5371","0.0","0.0"
"12","47.5372","0.0","0.0"
"13","47.5372","0.0","0.0"
"14","51.5006","0.0","0.0"
"15","51.5006","0.0","0.0"
"16","51.5007","0.0","0.0"
"17","54.5471","0.0","0.0"
"18","54.5472","0.0","0.0"
"19","54.5473","0.0","0.0"
"20","62.9172","0.0","0.0"
"21","62.9172","0.0","0.0"
"22","62.9179","0.0","0.0"
"23","86.162","0.0","0.0"
"24","86.1621","0.0","0.0"
"25","91.024","0.0","0.0"
"26","91.0242","0.0","0.0"
"27","91.0244","0.0","0.0"
"28","99.1837","0.0","0.0"
"29","99.1838","0.0","0.0"
"30","104.1829","0.0215","0.0"
"31","104.1829","0.0215","0.0"
"32","104.1832","0.0215","0.0"
"33","109.3435","0.0","0.0"
"34","109.3438","0.0","0.0"
"35","109.3438","0.0","0.0"
"36","110.2992","0.0","0.0"
"37","110.2993","0.0","0.0"
"38","110.2993","0.0","0.0"
"39","131.4904","0.0077","0.0"
"40","131.491","0.0077","0.0"
"41","131.4911","0.0077","0.0"
"42","137.4438","0.0","0.0"
"43","137.4441","0.0","0.0"
"44","137.4441","0.0","0.0"
"45","145.5037","0.0","0.0"
"46","145.5037","0.0","0.0"
"47","145.5041","0.0","0.0"
"48","148.8468","0.0","0.0"
"49","148.847","0.0","0.0"
"50","148.847","0.0","0.0"
"51","158.0275","0.0","0.0"
"52","174.3736","0.0358","0.0"
"53","174.3736","0.0358","0.0"
"54","174.3742","0.0358","0.0"
"55","179.4043","0.0","0.0"
"56","179.4048","0.0","0.0"
"57","179.4048","0.0","0.0"
"58","186.2771","0.0","0.0"
"59","186.2772","0.0","0.0"
"60","192.2152","0.0","0.0"
"61","192.2155","0.0","0.0"
"62","192.2155","0.0","0.0"
"63","199.9607","0.347","0.0"
"64","199.9609","0.347","0.0"
"65","199.9609","0.347","0.0"
"66","222.4903","0.0","0.0808"
"67","228.7594","0.0","0.0"
"68","228.7595","0.0","0.0"
"69","232.5347","0.0213","0.0"
"70","232.5352","0.0213","0.0"
"71","232.5353","0.0213","0.0"
"72","235.0991","0.0","0.0"
"73","244.3966","0.0","0.0"
"74","250.3559","0.0","0.0"
"75","250.3564","0.0","0.0"
"76","250.3566","0.0","0.0"
"77","254.3195","0.0","0.0"
"78","254.3197","0.0","0.0"
"79","254.3199","0.0","0.0"
"80","262.8276","0.0","0.0"
"81","262.8278","0.0","0.0"
"82","262.8281","0.0","0.0"
"83","277.4416","0.0","0.0"
"84","277.4418","0.0","0.0"
"85","309.7388","0.0","0.0"
"86","309.7392","0.0","0.0"
"87","309.7394","0.0","0.0"
"88","312.8835","0.0","0.0"
"89","312.8837","0.0","0.0"
"90","312.8839","0.0","0.0"
"91","326.1122","0.0","0.0"
"92","326.1123","0.0","0.0"
"93","332.1033","0.0","0.0"
"94","332.1034","0.0","0.0"
"95","332.1035","0.0","0.0"
"96","358.7534","0.0","0.4246"
"97","380.9898","0.7597","0.0"
"98","380.9899","0.7597","0.0"
"99","380.99","0.7597","0.0"
"100","390.9486","0.0","0.0"
"101","390.9486","0.0","0.0"
"102","418.3036","0.0111","0.0"
"103","418.3041","0.0111","0.0"
"104","418.3042","0.0111","0.0"
"105","420.4923","0.0","0.0"
"106","420.4924","0.0","0.0"
"107","420.4926","0.0","0.0"
"108","434.9954","0.0","0.0"
"109","435.859","0.0","0.0"
"110","435.8593","0.0","0.0"
"111","435.8594","0.0","0.0"
"112","443.2015","0.0","0.0"
"113","443.2016","0.0","0.0"
"114","443.2016","0.0","0.0"
"115","469.3027","0.0","0.0"
"116","479.361","0.0","0.0"
"117","479.3612","0.0","0.0"
"118","479.3612","0.0","0.0"
"119","481.4977","0.0","0.0"
"120","481.4978","0.0","0.0"
"121","481.4979","0.0","0.0"
"122","485.5423","0.0","0.0"
"123","485.5423","0.0","0.0"
"124","498.6911","0.0","0.0"
"125","498.6912","0.0","0.0"
"126","498.6913","0.0","0.0"
"127","499.9395","0.2978","0.0"
"128","499.9397","0.2978","0.0"
"129","499.9399","0.2978","0.0"
"130","508.8287","0.0","0.0"
"131","508.8287","0.0","0.0"
"132","508.8289","0.0","0.0"
"133","560.8236","0.0","0.0"
"134","564.8279","0.0","0.0"
"135","564.8282","0.0","0.0"
"136","564.8283","0.0","0.0"
"137","567.1552","0.0","0.0"
"138","567.1553","0.0","0.0"
"139","585.8509","0.0","0.0"
"140","585.8509","0.0","0.0"
"141","596.5704","0.0","0.0"
"142","596.5705","0.0","0.0"
