"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"1","-0.0","0.0","0.0"
"2","-0.0","0.0","0.0"
"3","0.0","0.0","0.0"
"4","21.4085","0.0","0.0"
"5","46.3565","0.0006","0.0"
"6","50.5263","0.0004","0.0"
"7","50.5273","0.0004","0.0"
"8","54.072","0.0","0.0"
"9","59.0887","0.0002","0.0"
"10","59.228","0.0003","0.0"
"11","59.2282","0.0003","0.0"
"12","59.6425","0.0","0.1009"
"13","72.0258","0.0","0.0"
"14","72.8804","0.0004","0.0"
"15","75.423","0.0","0.0"
"16","75.4237","0.0","0.0"
"17","86.5023","0.0","0.0"
"18","87.1693","0.0003","0.0"
"19","87.1694","0.0003","0.0"
"20","94.3662","0.0","0.0"
"21","94.8226","0.0","0.0"
"22","98.2862","0.0","0.0037"
"23","99.3813","0.0002","0.0"
"24","99.382","0.0002","0.0"
"25","114.4328","0.0","0.0002"
"26","117.546","0.0","0.0"
"27","118.5843","0.0096","0.0"
"28","118.5863","0.0096","0.0"
"29","123.7383","0.0","0.0"
"30","123.759","0.0","0.0"
"31","126.2445","0.0","0.0"
"32","126.8353","0.0036","0.0"
"33","129.8107","0.0","0.0"
"34","140.4303","0.057","0.0"
"35","142.2094","0.0337","0.0"
"36","142.2873","0.0331","0.0"
"37","143.9173","0.0","0.0"
"38","145.2618","0.0023","0.0"
"39","145.2897","0.0023","0.0"
"40","146.0655","0.0","0.0508"
"41","149.4879","0.0016","0.0"
"42","151.2816","0.0167","0.0"
"43","151.2819","0.0166","0.0"
"44","151.9715","0.0","0.009"
"45","155.4069","0.0833","0.0"
"46","155.4516","0.083","0.0"
"47","159.1559","0.0","0.0"
"48","167.0896","0.0","0.0"
"49","167.8865","0.0","0.0"
"50","170.46","0.0","0.0"
"51","171.4625","0.0078","0.0"
"52","174.6012","0.0011","0.0"
"53","174.6018","0.0011","0.0"
"54","177.0597","0.0","0.0"
"55","177.483","0.0803","0.0"
"56","178.5405","0.0105","0.0001"
"57","178.5566","0.0106","0.0"
"58","178.883","0.0","0.1495"
"59","181.8725","0.0","0.0"
"60","182.3516","0.0","0.0496"
"61","190.917","0.0","0.0"
"62","190.9199","0.0","0.0"
"63","191.4457","0.0","0.0"
"64","191.6053","0.0","0.1737"
"65","192.695","0.0001","0.0"
"66","192.6965","0.0001","0.0"
"67","194.4789","0.0","0.0"
"68","197.9881","0.0103","0.0"
"69","197.9891","0.0104","0.0"
"70","202.729","0.0","0.0"
"71","203.5108","0.0","0.0086"
"72","207.0753","0.0065","0.0"
"73","207.0782","0.0065","0.0"
"74","208.2257","0.0","0.0"
"75","208.2333","0.0","0.0"
"76","209.974","0.1163","0.0"
"77","226.834","0.0004","0.0"
"78","226.8354","0.0004","0.0"
"79","226.9207","0.0","0.0"
"80","227.723","0.0","0.0053"
"81","231.5806","0.008","0.0"
"82","236.5364","0.0033","0.0"
"83","236.5368","0.0033","0.0"
"84","237.2984","0.0","0.0"
"85","239.4781","0.0","0.0"
"86","240.0669","0.0","0.0019"
"87","245.1211","0.0089","0.0"
"88","245.1253","0.0089","0.0"
"89","247.7507","0.0","0.0"
"90","249.7386","0.9933","0.0"
"91","251.0647","0.0555","0.0"
"92","251.0657","0.0555","0.0"
"93","266.9751","0.0","0.0"
"94","279.0415","0.0","0.0058"
"95","290.2965","0.0","0.0"
"96","295.8716","0.0","0.0051"
"97","296.0195","0.0218","0.0"
"98","298.3658","0.0107","0.0"
"99","298.3692","0.0107","0.0"
"100","306.7644","0.0","0.0"
"101","308.356","0.0","0.0"
"102","311.9052","0.0007","0.0"
"103","311.9056","0.0007","0.0"
"104","316.2374","0.0","0.0"
"105","323.8324","0.0021","0.0"
"106","323.8338","0.0021","0.0"
"107","340.732","0.0067","0.0"
"108","340.7333","0.0067","0.0"
"109","348.3509","0.0","0.0"
"110","348.3535","0.0","0.0"
"111","356.3495","0.0","0.0"
"112","361.419","0.0029","0.0"
"113","364.3053","0.0","0.0135"
"114","368.8494","0.0066","0.0"
"115","368.8495","0.0066","0.0"
"116","376.0201","0.0","0.0"
"117","377.1149","0.0726","0.0"
"118","377.1156","0.0726","0.0"
"119","388.6515","0.0","0.0"
"120","392.5146","0.0","1.4595"
"121","393.9451","0.0","0.0"
"122","394.3605","0.0002","0.0"
"123","394.3614","0.0002","0.0"
"124","395.8563","0.0134","0.0"
"125","397.5312","0.0993","0.0"
"126","397.532","0.0993","0.0"
"127","410.2274","0.0","0.0"
"128","410.44","0.0","0.0"
"129","415.8423","0.0","0.0066"
"130","416.7828","0.0488","0.0"
"131","417.9112","0.0206","0.0"
"132","417.9117","0.0206","0.0"
"133","424.2383","0.0024","0.0"
"134","424.2402","0.0024","0.0"
"135","425.3372","0.0976","0.0"
"136","426.6261","0.0","0.0"
"137","433.5535","0.0266","0.0"
"138","433.554","0.0266","0.0"
"139","442.2123","0.0","0.0"
