"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"1","-0.0","0.0","0.0"
"2","-0.0","0.0","0.0"
"3","0.0001","0.0","0.0"
"4","24.329","0.0","0.0"
"5","24.3303","0.0","0.0"
"6","24.3348","0.0","0.0"
"7","43.9866","0.0","0.0"
"8","43.9868","0.0","0.0"
"9","59.1584","0.0","0.0"
"10","59.1586","0.0","0.0"
"11","59.1598","0.0","0.0"
"12","61.9081","0.0","0.0"
"13","61.9083","0.0","0.0"
"14","61.9084","0.0","0.0"
"15","62.2868","0.0","0.0115"
"16","80.3294","0.0","0.0"
"17","80.3301","0.0","0.0"
"18","80.3318","0.0","0.0"
"19","103.6781","0.0","0.0"
"20","104.2475","0.0","0.0"
"21","104.2478","0.0","0.0"
"22","104.2487","0.0","0.0"
"23","106.8864","0.0007","0.0"
"24","106.8869","0.0007","0.0"
"25","106.8875","0.0007","0.0"
"26","116.7252","0.0","0.0"
"27","116.7254","0.0","0.0"
"28","143.8372","0.0002","0.0"
"29","143.8373","0.0002","0.0"
"30","143.8374","0.0002","0.0"
"31","147.5376","0.0","0.0"
"32","147.5379","0.0","0.0"
"33","151.5889","0.0","0.0"
"34","151.5895","0.0","0.0"
"35","151.5899","0.0","0.0"
"36","165.9098","0.1121","0.0"
"37","165.91","0.1121","0.0"
"38","165.9112","0.1121","0.0"
"39","177.1627","0.0","0.0"
"40","177.163","0.0","0.0"
"41","177.165","0.0","0.0"
"42","179.6093","0.0142","0.0"
"43","179.6097","0.0142","0.0"
"44","179.6103","0.0142","0.0"
"45","185.9897","0.0002","0.0"
"46","185.9901","0.0002","0.0"
"47","185.9902","0.0002","0.0"
"48","190.1394","0.0","0.0"
"49","190.1399","0.0","0.0"
"50","210.8643","0.0","0.0051"
"51","218.075","0.0779","0.0"
"52","218.0752","0.0779","0.0"
"53","218.0753","0.0779","0.0"
"54","227.57","0.0","0.0"
"55","227.5707","0.0","0.0"
"56","227.5711","0.0","0.0"
"57","233.1614","0.0","0.0"
"58","233.1637","0.0","0.0"
"59","252.4179","0.0","0.0"
"60","252.4198","0.0","0.0"
"61","252.4203","0.0","0.0"
"62","261.8732","0.0","0.0"
"63","279.8176","0.0","0.0"
"64","279.8181","0.0","0.0"
"65","279.8183","0.0","0.0"
"66","285.1067","0.1385","0.0"
"67","285.1069","0.1385","0.0"
"68","285.1071","0.1385","0.0"
"69","293.5943","0.0","0.1994"
"70","305.3901","0.0","0.0"
"71","305.3907","0.0","0.0"
"72","305.3912","0.0","0.0"
"73","308.6723","0.1128","0.0"
"74","308.6734","0.1128","0.0"
"75","308.6741","0.1128","0.0"
"76","312.8735","0.0","0.0"
"77","316.6623","0.0","0.0"
"78","316.6632","0.0","0.0"
"79","316.897","0.0517","0.0"
"80","316.8972","0.0517","0.0"
"81","316.8974","0.0517","0.0"
"82","316.9703","0.0","0.0"
"83","316.9707","0.0","0.0"
"84","316.9707","0.0","0.0"
"85","335.4289","0.0","0.0"
"86","335.4294","0.0","0.0"
"87","348.9708","0.1265","0.0"
"88","348.9723","0.1265","0.0"
"89","348.9734","0.1265","0.0"
"90","349.224","0.0","0.0"
"91","349.2245","0.0","0.0"
"92","349.2251","0.0","0.0"
"93","373.1757","0.8641","0.0"
"94","373.1759","0.8641","0.0"
"95","373.1767","0.8642","0.0"
"96","381.2163","0.0","0.2292"
"97","416.2315","0.0","0.0"
"98","416.2349","0.0","0.0"
"99","420.4657","0.0","0.0"
"100","420.4671","0.0","0.0"
"101","420.4679","0.0","0.0"
"102","428.038","0.0","0.0"
"103","428.0385","0.0","0.0"
"104","428.0387","0.0","0.0"
"105","430.9718","0.0","0.0"
"106","430.9733","0.0","0.0"
"107","430.9748","0.0","0.0"
"108","441.4164","0.0","0.0"
"109","455.9075","0.0","0.0"
"110","455.9076","0.0","0.0"
"111","460.9169","0.0","0.0"
"112","460.9169","0.0","0.0"
"113","460.9176","0.0","0.0"
"114","461.5966","0.0195","0.0"
"115","461.6028","0.0195","0.0"
"116","461.6136","0.0195","0.0"
"117","465.1139","0.0","0.0752"
"118","486.0797","0.0","0.0"
"119","486.0831","0.0","0.0"
"120","486.104","0.0","0.0"
"121","488.5103","0.0","0.0"
"122","488.5176","0.0","0.0"
"123","494.4673","0.0706","0.0"
"124","494.4743","0.0706","0.0"
"125","494.4913","0.0706","0.0"
"126","495.5026","0.0","0.0"
"127","495.5037","0.0","0.0"
"128","495.5075","0.0","0.0"
"129","498.8887","0.0","0.0"
"130","500.8581","0.0","0.0"
"131","500.8584","0.0","0.0"
"132","505.1436","0.0","0.0"
"133","505.1438","0.0","0.0"
"134","505.144","0.0","0.0"
"135","512.4141","0.1955","0.0"
"136","512.4144","0.1956","0.0"
"137","512.4151","0.1956","0.0"
"138","540.4049","0.5885","0.0"
"139","540.405","0.5885","0.0"
"140","540.4055","0.5885","0.0"
